Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded,Total Turnover (my image Lac),No. of Trades
532978,BAJAJFINSV,A,1720.00,1729.85,1696.00,1705.35,161966,2765.12,6258
532538,ULTRACEMCO,A,6864.00,7000.00,6864.00,6961.40,39157,2727.65,5838
543384,NYKAA,A,211.55,211.55,191.15,192.00,1361093,2703.41,26341
532819,MINDTREE,A,3794.90,3900.00,3684.55,3711.35,70740,2667.72,5871
539310,THINKINK,B,66.95,70.00,65.25,69.10,3866894,2610.88,1444
532134,BANKBARODA,A,164.30,165.45,161.80,162.95,1596603,2604.40,8905
543652,FUSION,B,360.50,364.35,321.40,324.90,749462,2570.83,21710
500112,SBIN,A,593.25,602.00,592.75,600.90,423802,2534.64,5721
500440,HINDALCO,A,455.55,460.30,449.30,457.25,551509,2505.37,9853
500180,HDFCBANK,A,1620.55,1623.05,1605.35,1619.35,155177,2502.92,6724
532648,YESBANK,A,17.15,17.25,16.90,17.05,14556805,2481.36,10403
512599,ADANIENT,A,4022.00,4065.00,4022.00,4057.55,60100,2425.89,2839
524715,SUNPHARMA,A,1020.60,1020.60,1004.80,1013.00,239907,2421.41,6211
534976,VMART,A,2823.30,2835.55,2810.00,2821.35,85657,2419.82,190
532187,INDUSINDBK,A,1155.10,1167.35,1147.10,1151.70,207468,2388.27,5486
532755,TECHM,A,1062.05,1070.55,1050.10,1066.70,204656,2162.92,6036
539337,WAAREE,M,141.00,148.05,138.10,148.05,1491000,2103.45,479
531213,MANAPPURAM,A,116.95,119.70,115.55,117.05,1689091,1983.99,11101
500877,APOLLOTYRE,A,291.05,303.40,287.75,297.85,633560,1892.10,8020
500820,ASIANPAINT,A,3057.05,3095.95,3042.00,3081.80,61620,1883.69,2558
532659,IDFC,A,79.25,80.35,79.10,80.20,2361168,1882.15,1953
500510,LT,A,1997.30,2016.50,1978.35,1995.85,93591,1870.34,3569
500124,DRREDDY,A,4363.65,4446.40,4350.20,4436.65,42197,1862.71,2438
500312,ONGC,A,139.85,143.30,139.85,142.35,1230882,1752.84,7018
502355,BALKRISIND,A,1823.90,1981.80,1801.00,1963.10,90568,1740.77,8270
532702,GSPL,A,244.05,257.60,244.05,252.50,667216,1683.59,5055
543523,CAMPUS,B,452.15,461.95,406.45,425.20,395178,1675.44,15962
543526,LICI,A,664.80,671.30,651.70,655.10,253483,1673.47,12826
